r_AU,N,tau,n
0.1,2.8668904448771945e-08,0.9999999862041843,1.0000000004300336
0.11246578221198196,8.022886421625181e-10,0.9999999996139293,1.0000000000120344
0.12648552168552962,1.4769802718431084e-11,0.9999999999928926,1.0000000000002216
0.14225293134853698,1.6981465349734545e-13,0.9999999999999183,1.0000000000000024
0.15998587196060582,1.1501124583498223e-15,0.9999999999999994,1.0
0.17992936232915524,4.2963895936111556e-18,1.0,1.0
0.20235896477251572,8.221084499547097e-21,1.0,1.0
0.22758459260747887,0.0,1.0,1.0
0.2559547922699536,0.0,1.0,1.0
0.2878615592354568,0.0,1.0,1.0
0.3237457542817644,0.0,1.0,1.0
0.3641031949310675,0.0,1.0,1.0
0.40949150623804254,0.0,1.0,1.0
0.46053782558224143,0.0,1.0,1.0
0.5179474679231212,0.0,1.0,1.0
0.5825136712468927,0.0,1.0,1.0
0.655128556859551,0.0,1.0,1.0
0.7367954559661629,0.0,1.0,1.0
0.8286427728546845,0.0,1.0,1.0
0.9319395762340781,0.0,1.0,1.0
1.0481131341546859,0.0,1.0,1.0
1.1787686347935873,0.0,1.0,1.0
1.3257113655901096,0.0,1.0,1.0
1.4909716571840645,0.0,1.0,1.0
1.6768329368110082,0.0,1.0,1.0
1.8858632787726497,0.0,1.0,1.0
2.1209508879201904,0.0,1.0,1.0
2.38534400643142,0.0,1.0,1.0
2.682695795279726,0.0,1.0,1.0
3.017114810529294,0.0,1.0,1.0
3.39322177189533,0.0,1.0,1.0
3.816213407949357,0.0,1.0,1.0
4.291934260128778,0.0,1.0,1.0
4.826957437677871,0.0,1.0,1.0
5.428675439323859,0.0,1.0,1.0
6.105402296585329,0.0,1.0,1.0
6.8664884500430015,0.0,1.0,1.0
7.722449945836258,0.0,1.0,1.0
8.685113737513529,0.0,1.0,1.0
9.767781100894892,0.0,1.0,1.0
10.985411419875584,0.0,1.0,1.0
12.35482888256747,0.0,1.0,1.0
13.894954943731374,0.0,1.0,1.0
15.627069765469948,0.0,1.0,1.0
17.57510624854793,0.0,1.0,1.0
19.765980717016348,0.0,1.0,1.0
22.229964825261955,0.0,1.0,1.0
25.001103826179307,0.0,1.0,1.0
28.11768697974231,0.0,1.0,1.0
31.622776601683793,0.0,1.0,1.0
