Objekt,RelErr
Elektron,0
Mond,0
Erde,0
Sonne,0
Sagittarius A*,0
Ceres,0
Vesta,3.8610038610038609713182570325427471027499803010007068521111698954264746789240004566950029957872857260031214679395955989775514883701266696216413161699362170500270532858271744393472690233176764436483078E-200
Merkur,0
Mars,1.5583363201446135953053749095488440902472740471640492362139313990908730376465956638231490838516295653326984165952415489995613026738747812386383881958164624877419945844894267044243444951304301729279917E-200
Venus,0
Io,0
Europa,2.0834201425059381071540022308213766882298239265071014288086528709155783954171867340560478223697223464127410937543613241001064820778202843716928374675347898694334690441598599707831178610046971093254411E-200
Ganymed,0
Titan,0
Pluto,7.6745970836531084817609047896436030910084630960521667413728873025071787596782793255614042477476744204180491776850854659858878453454735161928057099220235768476427409334325023056902990945088358956961610E-200
Eris,0
Uranus,0
Neptun,-9.7643853807622071932178269580549898413277707535175782197901349026206090132890518897605927636809713493017481687650478611436274041610708346060134201499960479718678648625686436299918069549736018459638567E-200
Saturn,0
Jupiter,0
Proxima Centauri,4.1187484606177625604495175935314515785741117848206767729305332398570360859890661082956639272226574138531417966960165348699837758663528543278585086586554960479764966338451314868047937144826022816672153E-200
Alpha Centauri A,4.5718110360775328446178167549144333234364329744935567479996670254564284324081918674496767039581954818464189470366192823056138462740583228788495174945722679842885165905132963680246889105682637187958196E-200
Sirius A,0
Sirius B (WD),0
Neutronenstern 1.4 Msun,0
PSR J0740+6620,0
Cygnus X‑1 (BH),0
LMC X‑3 (BH),-7.1842744852646938169978497466465602771405725435708286845090518266377092509747264407882873336211832643762720656010471798489721817707656065790712026259960098539508839890540393942507125004220761260093008E-200
V404 Cygni (BH),0
M82 X‑1 (IMBH),1.2572480349213212293874184674649636403868300753803489617645727626092548542346627357497221481842967088075253838356769353447625564583436794369539917079973861813426484984765296925965999160944094325616402E-200
NGC 4395 BH,4.1908267830710713932487456855438268283320006504163167326302802322053303964019237571265009446123569042194920382672775215785671060329466038377915348651643390814713489936148563133129156252462110735054254E-200
